country,zipcode,wmo
US,02703,725070
US,02712,725070
US,02713,725070
US,02714,725070
US,02715,725070
US,02717,725070
US,02718,725070
US,02719,725070
US,02720,725070
US,02721,725070
US,02722,725070
US,02723,725070
US,02724,725070
US,02725,725070
US,02726,725070
US,02738,725070
US,02739,725070
US,02740,725070
US,02741,725070
US,02742,725070
US,02743,725070
US,02744,725070
US,02745,725070
US,02746,725070
US,02747,725070
US,02748,725070
US,02760,725070
US,02761,725070
US,02762,725070
US,02763,725070
US,02764,725070
US,02766,725070
US,02767,725070
US,02768,725070
US,02769,725070
US,02770,725070
US,02771,725070
US,02777,725070
US,02779,725070
US,02780,725070
US,02783,725070
US,02790,725070
US,02791,725070
US,02801,725070
US,02802,725070
US,02804,725070
US,02806,725070
US,02807,725070
US,02808,725070
US,02809,725070
US,02812,725070
US,02813,725070
US,02814,725095
US,02815,725070
US,02816,725070
US,02817,725070
US,02818,725070
US,02822,725070
US,02823,725070
US,02824,725070
US,02825,725070
US,02826,725070
US,02827,725070
US,02828,725070
US,02829,725070
US,02830,725070
US,02831,725070
US,02832,725070
US,02833,725070
US,02835,725070
US,02836,725070
US,02837,725070
US,02838,725070
US,02839,725070
US,02840,725070
US,02841,725070
US,02842,725070
US,02852,725070
US,02854,725070
US,02857,725070
US,02858,725070
US,02859,725070
US,02860,725070
US,02861,725070
US,02862,725070
US,02863,725070
US,02864,725070
US,02865,725070
US,02871,725070
US,02872,725070
US,02873,725070
US,02874,725070
US,02875,725070
US,02876,725070
US,02877,725070
US,02878,725070
US,02879,725070
US,02880,725070
US,02881,725070
US,02882,725070
US,02883,725070
US,02885,725070
US,02886,725070
US,02887,725070
US,02888,725070
US,02889,725070
US,02891,725070
US,02892,725070
US,02893,725070
US,02894,725070
US,02895,725070
US,02896,725070
US,02898,725070
US,02901,725070
US,02902,725070
US,02903,725070
US,02904,725070
US,02905,725070
US,02906,725070
US,02907,725070
US,02908,725070
US,02909,725070
US,02910,725070
US,02911,725070
US,02912,725070
US,02914,725070
US,02915,725070
US,02916,725070
US,02917,725070
US,02918,725070
US,02919,725070
US,02920,725070
US,02921,725070
US,02940,725070
US,03031,726050
US,03032,726050
US,03033,726050
US,03034,726050
US,03036,726050
US,03037,726050
US,03038,726050
US,03040,726050
US,03041,726050
US,03042,726050
US,03043,726050
US,03044,726050
US,03045,726050
US,03046,726050
US,03047,726050
US,03048,726050
US,03049,726050
US,03051,726050
US,03052,726050
US,03053,726050
US,03054,726050
US,03055,726050
US,03057,726050
US,03060,726050
US,03061,726050
US,03062,726050
US,03063,726050
US,03064,726050
US,03070,726050
US,03071,725095
US,03073,726050
US,03076,726050
US,03077,726050
US,03079,725090
US,03082,726050
US,03084,726050
US,03086,726050
US,03087,726050
US,03101,726050
US,03102,726050
US,03103,726050
US,03104,726050
US,03105,726050
US,03106,726050
US,03107,726050
US,03108,726050
US,03109,726050
US,03110,726050
US,03111,726050
US,03215,726050
US,03216,726050
US,03217,726050
US,03218,726050
US,03220,726050
US,03221,726050
US,03222,726050
US,03223,726050
US,03224,726050
US,03225,726050
US,03226,726050
US,03227,726050
US,03229,726050
US,03230,726050
US,03231,726050
US,03233,726050
US,03234,726050
US,03235,726050
US,03237,726050
US,03238,726050
US,03240,726050
US,03241,726050
US,03242,726050
US,03243,726050
US,03244,726050
US,03245,726050
US,03246,726050
US,03247,726050
US,03249,726050
US,03251,726050
US,03252,726050
US,03253,726050
US,03254,726050
US,03255,726050
US,03256,726050
US,03257,726050
US,03258,726050
US,03259,726050
US,03260,726050
US,03261,726050
US,03262,726050
US,03263,726050
US,03264,726050
US,03266,726050
US,03268,726050
US,03269,726050
US,03272,726050
US,03273,726050
US,03274,726050
US,03275,726050
US,03276,726050
US,03278,726050
US,03279,726050
US,03280,726050
US,03281,726050
US,03282,726050
US,03284,726050
US,03285,726050
US,03287,726050
US,03289,726050
US,03290,726050
US,03291,726050
US,03293,726050
US,03298,726050
US,03299,726050
US,03301,726050
US,03302,726050
US,03303,726050
US,03304,726050
US,03305,726050
US,03307,726050
US,03431,725095
US,03435,725095
US,03440,726050
US,03441,725095
US,03442,726050
US,03443,725095
US,03444,726050
US,03445,726050
US,03446,725095
US,03447,725095
US,03448,726050
US,03449,726050
US,03450,726050
US,03451,725095
US,03452,725095
US,03455,725095
US,03456,726050
US,03457,725095
US,03458,726050
US,03461,725095
US,03462,726050
US,03464,726050
US,03465,725095
US,03466,726050
US,03467,726050
US,03468,726050
US,03469,726050
US,03470,725095
US,03561,726170
US,03570,726060
US,03574,726050
US,03575,726170
US,03576,726170
US,03579,726060
US,03580,726170
US,03581,726060
US,03582,726170
US,03583,726060
US,03584,726170
US,03585,726170
US,03586,726170
US,03588,726060
US,03589,726060
US,03590,726170
US,03592,726170
US,03593,726060
US,03595,726060
US,03597,726170
US,03598,726170
US,03601,726050
US,03602,726050
US,03603,726050
US,03604,726050
US,03605,726050
US,03607,726050
US,03608,726050
US,03609,726050
US,03740,726170
US,03741,726050
US,03743,726050
US,03745,726050
US,03746,726050
US,03748,726050
US,03749,726050
US,03750,726050
US,03751,726050
US,03752,726050
US,03753,726050
US,03754,726050
US,03755,726050
US,03756,726050
US,03765,726170
US,03766,726050
US,03768,726050
US,03769,726050
US,03770,726050
US,03771,726170
US,03773,726050
US,03774,726050
US,03777,726050
US,03779,726050
US,03780,726050
US,03781,726050
US,03782,726050
US,03784,726050
US,03785,726170
US,03801,725090
US,03802,725090
US,03803,725090
US,03804,725090
US,03805,726050
US,03809,726050
US,03810,726050
US,03811,726050
US,03812,726060
US,03813,726060
US,03814,726050
US,03815,726050
US,03816,726050
US,03817,726050
US,03818,726060
US,03819,726050
US,03820,726050
US,03821,726050
US,03822,726050
US,03823,726050
US,03824,726050
US,03825,726050
US,03826,726050
US,03827,726050
US,03830,726050
US,03832,726060
US,03833,726050
US,03835,726050
US,03836,726050
US,03837,726050
US,03838,726060
US,03839,726050
US,03840,726050
US,03841,726050
US,03842,725090
US,03843,725090
US,03844,725090
US,03845,726060
US,03846,726060
US,03847,726060
US,03848,726050
US,03849,726050
US,03850,726050
US,03851,726050
US,03852,726060
US,03853,726050
US,03854,725090
US,03855,726050
US,03856,726050
US,03857,726050
US,03858,726050
US,03859,726050
US,03860,726060
US,03861,726050
US,03862,725090
US,03864,726050
US,03865,726050
US,03866,726050
US,03867,726050
US,03868,726050
US,03869,726050
US,03870,725090
US,03871,725090
US,03872,726050
US,03873,726050
US,03874,725090
US,03875,726050
US,03878,726050
US,03882,726060
US,03883,726050
US,03884,726050
US,03885,726050
US,03886,726050
US,03887,726050
US,03890,726050
US,03894,726050
US,03896,726050
US,03897,726050
US,03901,726050
US,03902,726060
US,03903,726050
US,03904,725090
US,03905,726050
US,03906,726060
US,03907,726060
US,03908,726050
US,03909,726060
US,03910,726060
US,03911,726060
US,04001,726060
US,04002,726060
US,04003,726060
US,04004,726060
US,04005,726060
US,04006,726060
US,04007,726060
US,04008,726060
US,04009,726060
US,04010,726060
US,04011,726060
US,04013,726060
US,04014,726060
US,04015,726060
US,04016,726060
US,04017,726060
US,04019,726060
US,04020,726060
US,04021,726060
US,04022,726060
US,04024,726060
US,04027,726050
US,04028,726060
US,04029,726060
US,04030,726060
US,04032,726060
US,04033,726060
US,04034,726060
US,04037,726060
US,04038,726060
US,04039,726060
US,04040,726060
US,04041,726060
US,04042,726060
US,04043,726060
US,04046,726060
US,04047,726060
US,04048,726060
US,04049,726060
US,04050,726060
US,04051,726060
US,04054,726060
US,04055,726060
US,04056,726060
US,04057,726060
US,04061,726060
US,04062,726060
US,04063,726060
US,04064,726060
US,04066,726060
US,04068,726060
US,04069,726060
US,04070,726060
US,04071,726060
US,04072,726060
US,04073,726060
US,04074,726060
US,04075,726060
US,04076,726060
US,04077,726060
US,04078,726060
US,04079,726060
US,04082,726060
US,04083,726060
US,04084,726060
US,04085,726060
US,04086,726060
US,04087,726060
US,04088,726060
US,04090,726060
US,04091,726060
US,04092,726060
US,04093,726060
US,04094,726060
US,04095,726060
US,04096,726060
US,04097,726060
US,04098,726060
US,04101,726060
US,04102,726060
US,04103,726060
US,04104,726060
US,04105,726060
US,04106,726060
US,04107,726060
US,04108,726060
US,04109,726060
US,04110,726060
US,04112,726060
US,04116,726060
US,04122,726060
US,04123,726060
US,04124,726060
US,04210,726060
US,04211,726060
US,04212,726060
US,04216,726060
US,04217,726060
US,04219,726060
US,04220,726060
US,04221,726060
US,04222,726060
US,04223,726060
US,04224,726060
US,04225,726060
US,04226,726060
US,04227,726060
US,04228,726060
US,04230,726060
US,04231,726060
US,04234,726060
US,04236,726060
US,04237,726060
US,04238,726060
US,04239,726060
US,04240,726060
US,04241,726060
US,04243,726060
US,04250,726060
US,04252,726060
US,04253,726060
US,04254,726060
US,04255,726060
US,04256,726060
US,04257,726060
US,04258,726060
US,04259,726060
US,04260,726060
US,04261,726060
US,04262,726060
US,04263,726060
US,04265,726060
US,04266,726060
US,04267,726060
US,04268,726060
US,04270,726060
US,04271,726060
US,04274,726060
US,04275,726060
US,04276,726060
US,04280,726060
US,04281,726060
US,04282,726060
US,04284,726060
US,04285,726060
US,04286,726060
US,04287,726060
US,04288,726060
US,04289,726060
US,04290,726060
US,04291,726060
US,04292,726060
US,04294,726060
US,04330,726060
US,04332,726060
US,04333,726060
US,04336,726060
US,04338,726060
US,04341,726060
US,04342,726060
US,04343,726060
US,04344,726060
US,04345,726060
US,04346,726060
US,04347,726060
US,04348,726060
US,04349,726060
US,04350,726060
US,04351,726060
US,04352,726060
US,04353,726060
US,04354,726060
US,04355,726060
US,04357,726060
US,04358,726060
US,04359,726060
US,04360,726060
US,04363,726060
US,04364,726060
US,04401,726060
US,04402,726060
US,04406,726060
US,04408,726050
US,04410,726060
US,04411,726060
US,04412,726060
US,04413,727120
US,04414,727120
US,04415,727120
US,04416,726060
US,04417,727120
US,04418,726060
US,04419,726060
US,04420,726060
US,04421,726060
US,04422,726060
US,04424,727120
US,04426,727120
US,04427,726060
US,04428,726060
US,04429,726060
US,04430,727120
US,04431,726060
US,04434,726060
US,04435,726060
US,04438,726060
US,04441,727120
US,04442,727120
US,04443,726060
US,04444,726060
US,04448,727120
US,04449,726060
US,04450,726060
US,04451,727120
US,04453,726060
US,04454,727120
US,04455,727120
US,04456,726060
US,04457,727120
US,04459,727120
US,04460,727120
US,04461,726060
US,04462,727120
US,04463,727120
US,04464,726060
US,04467,726060
US,04468,726060
US,04469,726060
US,04471,727120
US,04472,726060
US,04473,726060
US,04474,726060
US,04475,726060
US,04476,726060
US,04478,727120
US,04479,726060
US,04481,727120
US,04485,727120
US,04487,727120
US,04488,726060
US,04489,726060
US,04490,727120
US,04491,727120
US,04492,727120
US,04493,727120
US,04495,727120
US,04496,726060
US,04497,727120
US,04530,726060
US,04535,726060
US,04537,726060
US,04538,726060
US,04539,726060
US,04541,726060
US,04543,726060
US,04544,726060
US,04547,726060
US,04548,726060
US,04549,726060
US,04551,726060
US,04553,726060
US,04554,726060
US,04555,726060
US,04556,726060
US,04558,726060
US,04562,726060
US,04563,726060
US,04564,726060
US,04565,726060
US,04568,726060
US,04570,726060
US,04571,726060
US,04572,726060
US,04573,726060
US,04574,726060
US,04575,726060
US,04576,726060
US,04578,726060
US,04579,726060
US,04605,726060
US,04606,726060
US,04607,726060
US,04609,726060
US,04611,726060
US,04612,726060
US,04613,726060
US,04614,726060
US,04616,726060
US,04617,726060
US,04619,727120
US,04622,726060
US,04623,726060
US,04624,726060
US,04625,726060
US,04626,727120
US,04627,726060
US,04628,726060
US,04629,726060
US,04630,726060
US,04631,726060
US,04634,726060
US,04635,726060
US,04637,727120
US,04640,726060
US,04642,726060
US,04643,726060
US,04644,726060
US,04645,726060
US,04646,726060
US,04648,726060
US,04649,726060
US,04650,726060
US,04652,726060
US,04653,726060
US,04654,727120
US,04655,727120
US,04657,726060
US,04658,726060
US,04660,726060
US,04662,726060
US,04664,726060
US,04666,726060
US,04667,726060
US,04668,727120
US,04669,726060
US,04671,726060
US,04672,726060
US,04673,726060
US,04674,726060
US,04675,726060
US,04676,726060
US,04677,726060
US,04679,726060
US,04680,726060
US,04681,726060
US,04683,726060
US,04684,726060
US,04685,726060
US,04686,727120
US,04691,726060
US,04693,726060
US,04694,726060
US,04730,727120
US,04732,727120
US,04733,727120
US,04734,727120
US,04735,727120
US,04736,727120
US,04737,727120
US,04738,727120
US,04739,727120
US,04740,727120
US,04741,727120
US,04742,727120
US,04743,727120
US,04744,727120
US,04745,727120
US,04746,727120
US,04747,727120
US,04750,727120
US,04751,727120
US,04756,727120
US,04757,727120
US,04758,727120
US,04760,727120
US,04761,727120
US,04762,727120
US,04763,727120
US,04764,727120
US,04765,727120
US,04766,727120
US,04768,727120
US,04769,727120
US,04772,727120
US,04773,727120
US,04774,727120
US,04775,727120
US,04776,727120
US,04777,727120
US,04779,727120
US,04780,727120
US,04781,727120
US,04783,727120
US,04785,727120
US,04786,727120
US,04787,727120
US,04841,726060
US,04843,726060
US,04846,726060
US,04847,726060
US,04848,726060
US,04849,726060
US,04850,726060
US,04851,726060
US,04852,726060
US,04853,726060
US,04854,726060
US,04855,726060
US,04856,726060
US,04858,726060
US,04859,726060
US,04860,726060
US,04861,726060
US,04862,726060
US,04863,726060
US,04864,726060
US,04865,726060
US,04901,726060
US,04903,726060
US,04910,726060
US,04911,726060
US,04912,726060
US,04915,726060
US,04917,726060
US,04918,726060
US,04920,726060
US,04921,726060
US,04922,726060
US,04923,726060
US,04924,726060
US,04925,726060
US,04926,726060
US,04927,726060
US,04928,726060
US,04929,726060
US,04930,726060
US,04932,726060
US,04933,726060
US,04935,726060
US,04936,726060
US,04937,726060
US,04938,726060
US,04939,726060
US,04940,726060
US,04941,726060
US,04942,726060
US,04943,726060
US,04944,726060
US,04945,727120
US,04947,726060
US,04949,726060
US,04950,726060
US,04951,726060
US,04952,726060
US,04953,726060
US,04954,726060
US,04955,726060
US,04956,726060
US,04957,726060
US,04958,726060
US,04961,726060
US,04962,726060
US,04963,726060
US,04964,726060
US,04965,726060
US,04966,726060
US,04967,726060
US,04969,726060
US,04970,726060
US,04971,726060
US,04972,726060
US,04973,726060
US,04974,726060
US,04975,726060
